domain,phylum,className,order,family,genus,bulk1,bulk1,bulk2,bulk3,bulk4,bulk5,bulk6,nulk7,bulk8,bulk8,bulk9,bulk10,bulk11,bulk12,bulk13,bulk14,bulk15,bulk15,bulk16,bulk17,bulk18,bulk19,bulk20,bulk20,bulk21,bulk22,bulk23,bulk24,bulk25,bulk26,bulk26,bulk27,bulk28,bulk29,bulk29,bulk30,bulk31,bulk32,bulk33,bulk34,bulk34,bulk35,bulk36,bulk37,bulk38,bulk38,bulk39,bulk40
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,3.66005E-05,6.87195E-06,1.48032E-05,5.13434E-05,3.66986E-05,1.52809E-05,3.15846E-05,7.33127E-06,1.51341E-05,4.02385E-05,5.58644E-05,5.48614E-05,1.56816E-05,1.44761E-05,6.92578E-06,3.42487E-05,1.98936E-05,5.15855E-05,1.40909E-05,4.95821E-05,5.2004E-05,2.19782E-05,3.79104E-05,1.65202E-05,1.26345E-05,6.03824E-05,8.49005E-06,5.34602E-05,2.96921E-05,7.90889E-06,2.18617E-05,7.50486E-06,7.76959E-06,4.49721E-05,2.06772E-05,2.50261E-05,4.83465E-05,2.16067E-05,2.23757E-05,2.23141E-05,6.51873E-06,3.23003E-05,1.37104E-05,6.03523E-05,4.46555E-05,2.59258E-05,1.57833E-05,2.27664E-05
Eukaryota,unclassified (derived from Eukaryota),unclassified (derived from Eukaryota),unclassified (derived from Eukaryota),unclassified (derived from Eukaryota),Acanthamoeba,0,0,0,7.33477E-06,0,7.64047E-06,0,0,7.56704E-06,0,0,0,0,0,0,0,0,7.36936E-06,2.11363E-05,0,0,0,0,0,0,0,8.49005E-06,0,0,0,0,7.50486E-06,0,7.49535E-06,0,0,0,0,7.45857E-06,0,0,0,6.85518E-06,0,7.44258E-06,0,0,7.58881E-06
Bacteria,Cyanobacteria,unclassified (derived from Cyanobacteria),unclassified (derived from Cyanobacteria),unclassified (derived from Cyanobacteria),Acaryochloris,0.000805212,0.000721555,0.000688348,0.000814159,0.000660575,0.000848092,0.00092227,0.000835765,0.000756704,0.000780628,0.000949694,0.000857209,0.000776239,0.000673137,0.000789539,0.000815119,0.000908476,0.000773783,0.00073977,0.000821646,0.000668623,0.000666672,0.000818864,0.000751669,0.000859145,0.000670916,0.000713164,0.000614792,0.00063838,0.00056944,0.000553831,0.000697952,0.000675954,0.000802003,0.000544501,0.000976017,0.000692967,0.000792245,0.000991989,0.000810746,0.000906104,0.000734831,0.000808912,0.000777036,0.000855897,0.000751847,0.000978566,0.000819591
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio,0.000161042,0.000137439,8.88191E-05,0.000102687,0.000102756,0.000114607,0.000101071,0.000146625,0.000105939,0.00010462,0.000139661,0.00011658,6.27264E-05,0.000108571,0.000110813,0.000123295,0.00016578,0.000198973,0.000133863,9.2081E-05,8.17206E-05,0.000190478,0.000106149,8.26009E-05,0.000138979,0.000127474,0.000169801,0.00011583,8.90763E-05,0.000126542,2.9149E-05,0.000165107,0.000147622,0.000164898,0.000151633,0.000158498,0.000177271,8.64267E-05,0.000119337,0.000148761,0.00015645,0.000153426,0.000137104,0.000120705,0.000156294,0.000112345,0.000173617,0.000159365
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,0.000527048,0.000453549,0.000532915,0.000440086,0.000352307,0.000282697,0.000353748,0.000219938,0.000310249,0.000265574,0.000286305,0.000342884,0.000399881,0.000398092,0.000408621,0.000431533,0.000351454,0.000316882,0.00032409,0.000339992,0.000326882,0.00027839,0.00036394,0.000470825,0.000328496,0.000402549,0.000322622,0.000294031,0.000645803,0.000324264,0.000531969,0.00027768,0.000450636,0.000277328,0.000323944,0.000308655,0.000346484,0.000403325,0.000283426,0.00030496,0.000469349,0.000347228,0.000274207,0.000362114,0.000506095,0.00022469,0.000323558,0.000341496
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,0.000117122,0.000171799,0.00018504,0.000220043,0.000117436,0.000206293,0.000183191,0.0001173,0.000121073,0.00020924,0.000146644,0.000260592,0.000156816,0.000151999,0.000166219,0.000116446,0.00021883,0.000198973,0.000162045,0.000191245,0.000126295,0.000183152,0.000212298,0.000231283,0.000195834,0.000107347,0.000169801,0.000160381,0.000126191,0.000118633,0.000182181,0.000105068,0.00018647,0.000149907,0.00017231,0.000175182,0.000233675,0.000136842,0.000164088,0.000208265,0.000195562,8.88257E-05,0.000150814,0.000188601,0.000156294,0.00018148,9.47E-05,0.000166954
Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,2.19603E-05,2.06159E-05,5.18112E-05,0,1.46794E-05,0,3.15846E-05,1.46625E-05,3.02682E-05,8.04771E-06,2.79322E-05,2.74307E-05,7.8408E-06,1.44761E-05,4.15547E-05,2.73989E-05,2.65248E-05,2.94774E-05,1.40909E-05,3.54158E-05,4.45749E-05,5.86085E-05,4.54925E-05,2.47803E-05,2.5269E-05,4.02549E-05,2.54701E-05,1.78201E-05,4.45381E-05,0,1.45745E-05,1.50097E-05,4.66175E-05,3.74768E-05,4.82469E-05,8.34202E-06,3.2231E-05,2.16067E-05,2.98343E-05,1.48761E-05,1.30375E-05,1.61501E-05,1.37104E-05,3.01762E-05,7.44258E-06,4.32096E-05,3.94583E-05,7.58881E-06
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,0.001215138,0.001525574,0.001546934,0.001290919,0.00156336,0.001742027,0.001831907,0.001891468,0.001543677,0.001408349,0.001717829,0.001638985,0.001724976,0.001273895,0.001703743,0.001801481,0.001578228,0.00184234,0.001683858,0.001466213,0.002139594,0.001875472,0.001493669,0.001528117,0.001541406,0.001637035,0.001698009,0.001398876,0.00135099,0.001803227,0.001472024,0.001365884,0.001600535,0.001401631,0.001805813,0.001476538,0.001716302,0.001433243,0.001372376,0.001495046,0.001564496,0.001986466,0.001905741,0.00160688,0.001376877,0.001832087,0.001420499,0.001882024
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,0.000153722,0.000123695,0.000118426,0.000110021,0.000132115,0.000145169,0.000126338,0.000109969,0.000181609,0.000193145,0.000188542,0.000157727,0.000172498,0.000144761,9.6961E-05,0.000123295,0.000139255,0.000191603,0.000126818,0.000162913,8.91497E-05,0.000175825,0.000136477,0.000140422,0.000170565,0.000147601,0.000186781,0.000258391,0.000118768,0.000197722,0.000102021,0.000150097,0.0001787,0.000224861,0.000103386,0.00016684,0.000169213,0.000216067,0.000149171,0.000126447,0.000143412,0.000185727,0.00018509,0.000128249,0.000148852,0.000207406,0.000173617,0.000106243
Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,1.46402E-05,6.87195E-06,2.96064E-05,1.46695E-05,2.20192E-05,2.29214E-05,0,2.93251E-05,7.56704E-06,4.02385E-05,0,5.48614E-05,1.56816E-05,0,2.77031E-05,0,6.63121E-06,1.47387E-05,0,1.41663E-05,2.22874E-05,0,7.58208E-06,0,1.26345E-05,2.01275E-05,1.69801E-05,1.78201E-05,2.22691E-05,1.58178E-05,2.18617E-05,3.75243E-05,0,2.24861E-05,2.75697E-05,8.34202E-06,2.41733E-05,0,0,0,1.95562E-05,1.61501E-05,2.05656E-05,2.26321E-05,3.72129E-05,0,2.3675E-05,1.51776E-05
