Identifier 1,BNF,Identifier 1,Site,Treatment,FireType,Year,%N_Inc,Total_N_Inc,d15N_Inc,atom%_inc,d15N_Cont,atom%_cont,atom%_excess,BNF(nmol/mg/day)
BP01,12319.5947,BP01,PGW,Control,none,2019,0.279863914,10.38295121,8.663,0.369473257,4.753,0.368041024,0.001432233,12319.5947
BP02,15668.70958,BP02,PGW,Control,none,2019,0.655248385,28.96197862,8.547,0.369430766,6.423,0.368652745,0.000778021,15668.70958
BP03,-17107.34374,BP03,PGW,Control,none,2019,0.359057633,11.66937307,4.496,0.367946885,8.728,0.369497066,-0.001550182,-17107.34374
BP04,-6932.60493,BP04,PGW,Control,none,2019,0.301260922,10.75501492,4.672,0.368011354,6.716,0.368760071,-0.000748717,-6932.60493
BP05,6643.320329,BP05,PGW,Control,none,2019,0.2395786,9.55918614,7.449,0.369028569,4.986,0.368126372,0.000902197,6643.320329
BP06,5115.858948,BP06,PGW,Control,none,2019,0.250776946,9.629834726,6.274,0.368598166,4.462,0.367934431,0.000663736,5115.858948
BP07,138.3792699,BP07,PGW,Burn,rx,2019,0.409710431,16.30647515,4.131,0.367813185,4.101,0.367802196,1.10E-05,138.3792699
BP08,-11206.05139,BP08,PGW,Burn,rx,2019,0.270625132,10.09431742,6.292,0.36860476,9.97,0.369952011,-0.001347251,-11206.05139
BP09,#VALUE!,BP09,PGW,Burn,rx,2019,0.496514158,17.77520686,NA,#VALUE!,8.662,0.369472891,#VALUE!,#VALUE!
BP10,-6872.37914,BP10,PGW,Burn,rx,2019,0.843132413,32.37628466,9.467,0.369767762,10.191,0.370032963,-0.000265201,-6872.37914
BP11,15788.60772,BP11,PGW,Burn,rx,2019,0.732322364,26.87623076,11.278,0.370431131,9.363,0.369729667,0.000701464,15788.60772
BP12,351.2061199,BP12,PGW,Burn,rx,2019,0.472656223,17.11015527,8.187,0.369298898,8.121,0.369274722,2.42E-05,351.2061199
BP13,2534.016705,BP13,PGE,Control,none,2019,0.162747578,6.493628362,8.675,0.369477653,7.292,0.36897106,0.000506593,2534.016705
BP14,-178.7294504,BP14,PGE,Control,none,2019,0.721606904,27.13241959,6.133,0.368546518,6.155,0.368554577,-8.06E-06,-178.7294504
BP15,3109.084263,BP15,PGE,Control,none,2019,0.322993378,12.27374836,6.397,0.368643221,5.542,0.368330035,0.000313187,3109.084263
BP16,-8021.355836,BP16,PGE,Control,none,2019,0.197145503,7.176096309,8.179,0.369295968,11.793,0.370619776,-0.001323808,-8021.355836
BP17,-25069.5169,BP17,PGE,Control,none,2019,0.421814538,16.40858553,6.722,0.368762269,12.001,0.370695966,-0.001933698,-25069.5169
BP18,-14012.36849,BP18,PGE,Control,none,2019,0.328831116,12.65999797,6.875,0.368818313,10.66,0.370204758,-0.001386445,-14012.36849
BP19,11859.42803,BP19,PGE,Burn,rx,2019,0.620008446,24.0563277,4.957,0.368115749,3.258,0.367493405,0.000622344,11859.42803
BP20,9078.84787,BP20,PGE,Burn,rx,2019,0.228834805,9.107625239,8.023,0.369238825,4.499,0.367947984,0.001290841,9078.84787
BP21,-5514.448531,BP21,PGE,Burn,rx,2019,0.389977624,14.66315866,4.99,0.368127837,6.246,0.36858791,-0.000460073,-5514.448531
BP22,-2020.546537,BP22,PGE,Burn,rx,2019,0.327503194,11.85561562,7.431,0.369021975,7.979,0.369222708,-0.000200732,-2020.546537
BP23,5319.13125,BP23,PGE,Burn,rx,2019,0.291643924,10.49334839,9.862,0.369912451,8.242,0.369319045,0.000593406,5319.13125
BP24,4228.098467,BP24,PGE,Burn,rx,2019,0.39699149,15.69704351,6.224,0.368579851,5.278,0.368233331,0.00034652,4228.098467
BP25,24316.4535,BP25,RC,Control,none,2019,0.144647021,6.091086054,21.92,0.374329296,6.988,0.368859704,0.005469592,24316.4535
BP26,-6285.815374,BP26,RC,Control,none,2019,0.326698243,14.08069427,5.918,0.368467763,7.627,0.36909377,-0.000626007,-6285.815374
BP27,-984.6009528,BP27,RC,Control,none,2019,0.223100953,8.825873701,6.191,0.368567763,6.583,0.368711353,-0.00014359,-984.6009528
BP28,-10526.3147,BP28,RC,Control,none,2019,0.291635288,11.07047553,5.842,0.368439925,9.048,0.369614282,-0.001174358,-10526.3147
BP29,-5982.626509,BP29,RC,Control,none,2019,0.290063887,11.72148167,5.079,0.368160438,6.911,0.368831499,-0.000671062,-5982.626509
BP30,-7595.599623,BP30,RC,Control,none,2019,0.470151043,17.52252937,6.385,0.368638826,7.82,0.369164466,-0.00052564,-7595.599623
BP31,9461.92031,BP31,RC,Burn,wild,2019,0.349164785,12.31504197,9.1,0.36963333,6.693,0.368751646,0.000881684,9461.92031
BP32,7130.067271,BP32,RC,Burn,wild,2019,0.306690845,11.19421584,8.574,0.369440656,6.509,0.368684247,0.000756409,7130.067271
BP33,9293.849647,BP33,RC,Burn,wild,2019,0.330204414,12.05576316,8.906,0.369562268,6.406,0.368646518,0.00091575,9293.849647
BP34,-895.9200912,BP34,RC,Burn,wild,2019,0.485235614,19.74423713,6.102,0.368535163,6.266,0.368595236,-6.01E-05,-895.9200912
BP35,-25781.43371,BP35,RC,Burn,wild,2019,0.428998463,17.55890709,,0.3663,5.338,0.368255309,-0.001955309,-25781.43371
BP36,-26108.70675,BP36,RC,Burn,wild,2019,0.688967109,27.3106562,5.314,0.368246518,8.68,0.369479484,-0.001232966,-26108.70675
BP37,-11016.75606,BP37,RC,Control,none,2018,0.705512175,27.95239237,4.755,0.368041757,6.142,0.368549815,-0.000508058,-11016.75606
BP38,-3156.17397,BP38,RC,Control,none,2018,0.342716387,15.1103655,7.762,0.369143221,8.58,0.369442854,-0.000299633,-3156.17397
BP39,9885.050377,BP39,RC,Control,none,2018,0.388677944,12.90410774,9.778,0.369881681,7.519,0.36905421,0.000827472,9885.050377
BP40,-3655.198935,BP40,RC,Control,none,2018,0.345390514,11.88834149,9.141,0.369648348,10.081,0.36999267,-0.000344322,-3655.198935
BP41,4798.863098,BP41,RC,Control,none,2018,0.279508975,10.8253826,8.572,0.369439924,7.047,0.368881316,0.000558607,4798.863098
BP42,9851.590593,BP42,RC,Control,none,2018,0.31185013,10.8024885,10.208,0.37003919,7.402,0.369011353,0.001027838,9851.590593
BP43,4623.25922,BP43,RC,Burn,wild,2018,0.456281621,16.08848996,7.262,0.368960071,6.362,0.368630401,0.00032967,4623.25922
BP44,6446.668107,BP44,RC,Burn,wild,2018,0.316711714,10.8093708,6.822,0.368798899,5.014,0.368136628,0.00066227,6446.668107
BP45,27042.21602,BP45,RC,Burn,wild,2018,0.430462496,14.73473124,6.099,0.368534064,0.519,0.36649011,0.002043954,27042.21602
BP46,10339.7133,BP46,RC,Burn,wild,2018,0.310692885,11.89021671,8.5,0.36941355,5.544,0.368330767,0.001082783,10339.7133
BP47,1399.976386,BP47,RC,Burn,wild,2018,0.391039682,16.58790331,6.244,0.368587177,5.926,0.368470694,0.000116483,1399.976386
BP48,1981.651803,BP48,RC,Burn,wild,2018,0.213353926,9.300097634,7.957,0.369214649,7.132,0.368912452,0.000302198,1981.651803
BP49,6637.041889,BP49,PGE,Control,none,2018,0.158730323,5.942863293,8.662,0.369472891,4.948,0.368112452,0.001360438,6637.041889
