Plot,Site,Treatment ,sample.year,cyano,lichen,moss,totalbsc,native,nonnative,totalplant,den.nf,den.ng,den.nnf,den.nng,ACARAR,ACHMIL,AMBPUS,AMSMEN,AVESPP,AVEBAR,AVEFAT,BRODIA,BROHOR,BROKIN,BROMAD,CALCIL,CALMAC,CENMEL,CRACON,CRYINT,DAUPUS,DICAP,EROBOT,EROCIC,FESMYU,FESSPP,GALAPA,GILNEV,HYPGLA,LASGRA,LEPNIT,LUPBIC,MAFOFO,OPULIT,PELAND,PTEDRY,SALTRA,SANARG,SONOLE,SPEMAC,STIPUL,VIOPED
PGE01,pge,burn,2018,7,0,1,8,33,911,944,6,27,859,52,0,0,0,0,0,6,9,13,0,0,0,0,0,0,0,0,0,0,859,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,0
PGE02,pge,burn,2018,31.25,1.75,18.75,51.75,75,660,735,53,22,559,101,0,2,0,0,0,0,4,5,19,0,73,0,0,0,0,0,0,0,545,13,0,0,0,0,0,0,1,0,0,0,0,0,1,50,0,0,22,0
PGE03,pge,burn,2018,35.5,0.25,0.5,36.25,19,1283,1302,3,16,1193,90,0,1,0,0,0,0,7,49,4,0,30,0,0,0,0,0,0,0,1170,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0
PGE04,pge,burn,2018,25.25,0,1,26.25,11,783,794,0,11,718,65,0,0,0,0,0,3,0,12,2,0,48,0,0,0,0,0,0,0,665,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
PGE05,pge,burn,2018,22.5,0,0,22.5,3,807,810,0,3,729,78,0,0,0,0,1,0,0,17,20,0,4,0,0,1,0,0,0,0,725,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
PGE06,pge,burn,2018,14.25,0.25,0.25,14.75,102,419,521,66,36,365,54,0,0,0,0,0,8,13,0,15,65,0,0,0,8,0,1,0,0,265,91,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0
PGE07,pge,burn,2018,8.75,0,0.25,9,137,440,577,132,5,328,112,0,0,0,0,0,5,20,12,15,130,10,0,0,48,0,0,0,0,163,113,50,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0
PGE08,pge,burn,2018,15.75,0.5,0,16.25,922,520,1442,922,0,475,45,0,0,0,0,0,1,0,17,0,840,4,0,0,3,80,0,0,0,420,52,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PGE09,pge,burn,2018,45,12.75,0.5,58.25,608,1169,1777,601,7,974,195,0,0,0,0,0,0,0,49,0,254,0,0,0,1,345,1,0,0,826,147,0,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
PGE10,pge,burn,2018,22.75,1.75,1.25,25.75,552,585,1137,537,15,403,182,0,0,0,0,0,0,0,12,0,221,50,0,0,0,315,1,0,0,400,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
PGEC01,pge,control,2018,6,0.75,0,6.75,34,231,265,8,26,115,116,2,0,0,0,0,5,7,80,3,0,21,0,0,2,0,0,0,0,113,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,26,0
PGEC02,pge,control,2018,57.5,0.75,0.5,58.75,10,194,204,0,10,67,127,0,0,0,0,0,0,16,22,50,0,39,0,0,4,0,0,0,0,54,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0
PGEC03,pge,control,2018,17,0,0,17,5,259,264,0,5,73,186,0,0,0,0,0,0,11,75,33,0,67,0,0,8,0,0,0,0,47,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0
PGEC04,pge,control,2018,3,0,0,3,22,380,402,15,7,58,322,0,0,0,0,0,28,0,270,7,0,10,0,0,47,0,0,2,0,0,10,7,0,0,2,0,0,0,10,1,0,0,0,0,0,1,0,7,0
