Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,treatment,Density_mean,Cover_mean,nh4_summer17_mean,nh4_winter18_mean,Mg_mean,K_mean,Ca_mean,Na_mean,P_mean,DOC_summer17_mean,DOC_winter18_mean,NO3_summer17_mean,NO3_winter18_mean,CN_ratio_mean,pH_summer17_mean,pH_winter18_mean,PO4_mean,Sand_mean,Silt_mean,Clay_mean,wc_summer17_mean,om_summer17_mean,wc_winter18_mean,om_winter18_mean,P_winter2017_mean,P_spring2017_mean,P_summer2017_mean,P_fall2017_mean,P_winter2018_mean,P_spring2018_mean,P_summer2018_mean,P_fall2018_mean,P_winter2019_mean,P_spring2019_mean,P_summer2019_mean,P_fall2019_mean,P_winter2020_mean,P_spring2020_mean,Tavg_winter2017_mean,Tavg_spring2017_mean,Tavg_summer2017_mean,Tavg_fall2017_mean,Tavg_winter2018_mean,Tavg_spring2018_mean,Tavg_summer2018_mean,Tavg_fall2018_mean,Tavg_winter2019_mean,Tavg_spring2019_mean,Tavg_summer2019_mean,Tavg_fall2019_mean,Tavg_winter2020_mean,Tavg_spring2020_mean,TMax_winter2017_mean,TMax_spring2017_mean,TMax_summer2017_mean,TMax_fall2017_mean,TMax_winter2018_mean,TMax_spring2018_mean,TMax_summer2018_mean,TMax_fall2018_mean,TMax_winter2019_mean,TMax_spring2019_mean,TMax_summer2019_mean,TMax_fall2019_mean,TMax_winter2020_mean,TMax_spring2020_mean,TMin_winter2017_mean,TMin_spring2017_mean,TMin_summer2017_mean,TMin_fall2017_mean,TMin_winter2018_mean,TMin_spring2018_mean,TMin_summer2018_mean,TMin_fall2018_mean,TMin_winter2019_mean,TMin_spring2019_mean,TMin_summer2019_mean,TMin_fall2019_mean,TMin_winter2020_mean,TMin_spring2020_mean,ng.cov_mean,nng.cov_mean,nnf.cov_mean,nf.cov_mean,ng.den_mean,nng.den_mean,nnf.den_mean,nf.den_mean
rc01,a,rc012018,rc,2018,2012,none,0,0,0,NA,0,control,21.28571429,6.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,5.406300366,1.987220447,0.899300442,0,15.18652015,7.403673903,2.374570447
rc01,b,rc012018,rc,2018,2012,none,3,0,0,NA,3,control,25,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.8,5.676615385,1.391054313,0,1.051636364,15.94584615,5.182571732,0
rc01,c,rc012018,rc,2018,2012,none,0,0,0,NA,0,control,24.25,3.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.75,4.730512821,1.738817891,0,1.314545455,13.28820513,6.478214665,0
rc01,d,rc012018,rc,2018,2012,none,1,0,1,NA,2,control,22.66666667,2.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,1.166666667,7.884188034,0,0,0.876363636,22.14700855,0,0
rc02,a,rc022018,rc,2018,2012,none,1,0,0,NA,1,control,9.285714286,4.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,4.054725275,1.987220447,0.899300442,0,11.38989011,7.403673903,2.374570447
rc02,b,rc022018,rc,2018,2012,none,0,0,0,NA,0,control,10.25,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,3.547884615,1.738817891,1.573775773,0,9.966153846,6.478214665,4.155498282
rc02,c,rc022018,rc,2018,2012,none,0,0,0,NA,0,control,10.25,2.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.25,2.36525641,2.608226837,0.786887887,0.657272727,6.644102564,9.717321998,2.077749141
rc02,d,rc022018,rc,2018,2012,none,4,0,1,NA,5,control,12.66666667,1.277777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0,4.204900285,1.545615903,1.398911798,0,11.81173789,5.758413036,3.69377625
rc03,a,rc032018,rc,2018,2012,none,0,0,0,NA,0,control,10,3.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.5,3.153675214,2.318423855,1.049183849,0.876363636,8.858803419,8.637619554,2.770332188
rc03,b,rc032018,rc,2018,2012,none,0,0,0,NA,0,control,8.571428571,1.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105,0.23,NA,0.206666667,0.52,0.676666667,0,0.666666667,4.296666667,0.723333333,0.106666667,0.85,1.413333333,1.923333333,53.4,61.05,70.26666667,68.33333333,60.4,57.6,69.63333333,65.43333333,53.16666667,56.5,67.8,67.3,56.16666667,58.93333333,58.05,68.05,79.03333333,75.23333333,66.8,64.36666667,77.93333333,72.4,58.03333333,62.43333333,75.43333333,74.7,61.8,65.3,48.7,54.05,61.43333333,61.36666667,54,50.9,61.33333333,58.5,48.3,50.6,60.13333333,59.8,50.56666667,52.66666667,0.428571429,3.378937729,1.987220447,1.798600884,0.375584416,9.491575092,7.403673903,4.749140893
