domain,phylum,class,order,family,genus,OTU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,1,0,1.03351E-05,1.1312E-05,6.95792E-06,6.99447E-06,2.38997E-05,8.06518E-06,1.29768E-05,0,1.2937E-05,1.79937E-05,1.0595E-05,0,2.29715E-05,1.101E-05,1.43415E-05,8.05581E-06,1.29196E-05,8.84861E-06,2.5552E-05,9.42019E-06,9.76496E-06,7.14681E-06,5.38326E-06,0.000257481
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,2,0.000131403,4.12873E-05,3.38194E-05,4.87772E-05,7.67949E-05,4.77378E-05,3.63764E-05,5.19071E-05,2.878E-05,3.88999E-05,8.1282E-05,4.238E-05,4.30459E-05,4.59429E-05,4.96584E-05,8.24268E-05,3.22509E-05,6.4598E-05,2.66066E-05,0.000128201,5.03381E-05,4.88248E-05,4.64174E-05,3.49634E-05,0.001312719
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,3,2.18817E-05,1.03351E-05,5.656E-06,0,1.39889E-05,1.79248E-05,8.06518E-06,0,0,2.57851E-05,6.01859E-06,0,1.43981E-05,0,5.50498E-06,2.14384E-05,1.60562E-05,3.2299E-06,1.47477E-05,8.5467E-06,1.25603E-05,4.88248E-06,2.13667E-05,2.69163E-06,0.000235078
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,4,3.28225E-05,2.58378E-05,3.38194E-05,2.08738E-05,2.09834E-05,4.18861E-05,2.82697E-05,0,1.91867E-05,2.57851E-05,4.21922E-05,2.119E-05,2.15972E-05,0,1.6515E-05,6.09884E-05,4.83072E-05,1.93128E-05,1.17981E-05,2.13668E-05,1.57003E-05,1.95299E-05,4.29177E-05,1.88692E-05,0.000609749
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,5,1.09408E-05,1.03351E-05,0,1.39158E-05,6.99447E-06,1.19499E-05,2.01629E-05,2.59536E-05,9.59335E-06,1.2937E-05,1.50465E-05,1.0595E-05,7.19905E-06,0,2.20199E-05,1.07561E-05,1.34263E-05,1.29196E-05,2.94954E-06,1.70934E-05,9.42019E-06,4.88248E-06,1.7867E-05,1.07665E-05,0.000277725
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,6,5.47042E-05,4.66146E-05,3.96503E-05,1.39158E-05,2.79779E-05,8.37721E-05,3.63764E-05,5.19071E-05,1.91867E-05,2.15617E-05,4.21922E-05,3.1785E-05,0,0,2.20199E-05,1.79269E-05,3.76491E-05,1.61495E-05,1.76364E-05,6.85058E-05,4.07885E-05,3.90095E-05,6.07847E-05,1.88692E-05,0.000808984
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,7,1.09408E-05,1.55027E-05,0,0,0,5.97493E-06,0,2.59536E-05,0,4.31233E-06,6.01859E-06,0,0,0,1.101E-05,7.17076E-06,2.68527E-06,6.4598E-06,2.94954E-06,4.27335E-06,6.28013E-06,9.76496E-06,3.5734E-06,0,0.00012287
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,8,3.28225E-05,3.08988E-05,6.20994E-05,6.95792E-06,2.09834E-05,5.38975E-05,1.20978E-05,1.29768E-05,1.91867E-05,3.88999E-05,1.79937E-05,0,7.19905E-06,1.14857E-05,4.39831E-05,3.93653E-05,3.22509E-05,3.54623E-05,2.66066E-05,4.69188E-05,4.07885E-05,9.76496E-06,5.01013E-05,1.60943E-05,0.000668835
Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,9,1.09408E-05,3.62262E-05,2.2624E-05,1.39158E-05,2.79779E-05,2.38997E-05,1.61304E-05,2.59536E-05,1.91867E-05,2.15617E-05,5.41363E-05,2.119E-05,5.04676E-05,2.29715E-05,2.75249E-05,3.93653E-05,3.76491E-05,3.87921E-05,2.66066E-05,0.000124015,4.07885E-05,5.86401E-05,5.01013E-05,1.60943E-05,0.00082676
Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,10,0.000131403,0.000160354,0.00018105,0.000146332,0.000104917,0.000173396,8.87585E-05,0.000155855,0.000182471,0.000120701,0.000141468,0.000137626,0.000122458,0.000103608,0.000137625,9.68423E-05,9.93826E-05,0.000148675,9.73043E-05,0.000376672,0.000147615,0.000122062,0.000243139,9.69819E-05,0.003516697
