level1,level2,level3,function.,pge01b,pge02b,pge03b,pge04b,pge05b,pge06b,pge07b,pge08b,pge09b,pge10b,pge01c,pge02c,pge03c,pge04c,pge05c,pge06c,pge07c,pge08c,pge09c,pge10c,pgw01b,pgw02b,pgw03b,pgw04b,pgw05b,pgw06b,pgw07b,pgw08b,pgw09b,pgw10b,pgw01c,pgw02c,pgw03c,pgw04c,pgw05c,pgw06c,pgw07c,pgw08c,pgw09c,pgw10c
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,Alanine racemase (EC 5.1.1.1),22,18,25,18,20,34,25,20,32,27,33,21,27,24,14,28,14,21,24,22,24,23,37,16,24,22,23,23,21,13,19,16,29,30,12,23,16,15,14,22
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,"Alanine racemase, biosynthetic (EC 5.1.1.1)",0,0,0,0,2,2,1,1,1,0,0,0,4,0,0,3,2,1,0,1,3,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,"Alanine racemase, catabolic (EC 5.1.1.1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,4,2,1,3,3,1,1,1,3,3
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,"Cysteine desulfurase (EC 2.8.1.7), NifS subfamily",3,0,4,2,1,3,0,2,0,3,0,0,4,3,2,0,1,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,"Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA",3,0,0,1,1,1,1,2,0,0,0,1,1,2,0,0,0,2,1,0,2,6,1,2,2,0,0,0,1,0,1,2,1,0,2,2,0,1,0,1
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,Glutamate-pyruvate aminotransferase (EC 2.6.1.2),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,HTH-type transcriptional regulator IlvY,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,Probable valine-pyruvate aminotransferase (EC 2.6.1.66),3,1,4,2,1,18,8,5,2,2,0,1,7,2,4,4,8,8,4,3,8,11,8,8,5,9,9,15,5,10,8,8,4,13,4,12,9,3,6,8
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine_biosynthesis,Valine--pyruvate aminotransferase (EC 2.6.1.66),0,0,1,2,1,1,2,2,1,0,0,1,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,26,17,20,29,21,25,16,26,28,25,14
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,Cystathionine gamma-lyase (EC 4.4.1.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,0,44,36,30,41,75,30,42,28,28,29,49
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),120,113,103,111,123,120,113,96,103,104,107,115,122,116,125,129,103,124,107,103,122,122,102,108,108,98,0,0,104,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,D-serine dehydratase (EC 4.3.1.18),0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,D-serine dehydratase transcriptional activator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,D-serine/D-alanine/glycine transporter,7,7,3,7,10,4,6,3,5,7,0,5,7,3,6,5,4,4,7,6,6,8,7,6,5,4,4,5,3,4,6,4,4,5,6,5,2,5,8,3
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,Glycerate kinase (EC 2.7.1.31),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,9,4,16,13,6,12,8,14,9,14,11
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,Glycine cleavage system H protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,16,8,23,19,20,17,11,3,12,13,18
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2),32,31,17,17,35,23,16,30,44,19,18,23,22,24,21,20,25,26,34,14,33,31,12,22,20,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,L-serine dehydratase 1 (EC 4.3.1.17),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,"L-serine dehydratase, alpha subunit (EC 4.3.1.17)",2,0,1,0,0,1,0,0,1,3,0,0,4,0,1,1,0,2,0,0,1,2,0,0,2,1,0,1,0,0,0,0,2,0,1,1,0,0,2,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,"L-serine dehydratase, beta subunit (EC 4.3.1.17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,2
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,Monoamine oxidase (1.4.3.4),4,4,4,10,8,11,11,2,5,9,8,17,6,7,4,6,10,5,11,10,10,5,4,3,10,19,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,Phosphoserine phosphatase (EC 3.1.3.3),39,13,36,20,35,26,25,28,28,34,16,24,34,27,26,28,30,20,25,22,27,38,30,27,34,22,21,23,25,35,14,26,35,39,22,31,22,22,18,23
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,"Threonine dehydratase, catabolic (EC 4.3.1.19)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,26,13,28,32,24,25,29,24,16,27,31
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_Biosynthesis,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),23,26,20,29,13,28,31,22,23,41,19,22,24,20,24,18,21,28,38,20,25,28,26,14,24,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_Biosynthesis,L-threonine 3-dehydrogenase (EC 1.1.1.103),23,19,20,9,11,10,18,14,13,17,14,19,18,16,16,13,16,10,10,12,6,13,15,11,23,17,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10),51,30,39,39,35,49,46,28,40,50,39,45,47,43,23,53,33,48,23,42,63,51,47,41,31,36,31,23,25,35,31,50,58,31,32,36,29,43,34,35
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Glycine cleavage system transcriptional activator GcvA,8,6,1,0,2,3,6,4,1,2,7,4,6,6,2,1,1,4,4,3,6,2,3,2,6,3,4,3,3,5,0,0,3,10,5,6,5,3,4,8
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Glycine cleavage system transcriptional antiactivator GcvR,0,2,2,0,4,1,2,3,0,0,1,0,0,3,2,0,2,0,4,0,9,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2),20,26,41,27,34,26,15,25,33,22,26,30,28,27,33,30,21,22,39,29,33,33,14,23,18,29,28,27,17,26,14,22,24,30,24,37,30,26,35,24
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,0,28,27,26,28,30,35,33,16,7,20,17
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,0,29,35,30,43,59,37,30,34,32,34,53
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Similar to Glycine cleavage system H protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_cleavage_system,Sodium/glycine symporter GlyP,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Serine_Biosynthesis,"Phosphoserine aminotransferase, putative (EC 2.6.1.52)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Amino Acids and Derivatives,"Alanine, serine, and glycine",Serine_Biosynthesis,Serine hydroxymethyltransferase 1 (EC 2.1.2.1),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
