site,treatment,year ,fire.type,ID,chl,DW,chl_total_mg_per_g,chl_a,chl_a_total ,diff_a_b,prop.chl.a
pge,b,2018,rx,pge01B,8.56224,2.7292,3.137270995,3.80328,1.393551224,1.743719771,0.444192174
pge,b,2018,rx,pge02B,19.39076,2.8847,6.721932957,,,,
pge,b,2018,rx,pge03B,7.64744,2.4333,3.142826614,,,,
pge,b,2018,rx,pge04B,10.2976875,2.0198,5.098369888,,,,
pge,b,2018,rx,pge05B,3.77496,4.6488,0.812028911,1.31652,0.283195663,0.528833248,0.348750715
pge,b,2018,rx,pge06B,13.7754,2.2105,6.23180276,8.4111,3.805066727,2.426736033,0.61058844
pge,b,2018,rx,pge07B,,,4.1270274,,,,
pge,b,2018,rx,pge08B,1.99118,0.5513,3.611790314,,,,
pge,b,2018,rx,pge09B,2.18366,2.1031,1.038305359,,,,
pge,b,2018,rx,pge10B,34.43125,2.4736,13.91948981,,,,
pgw,b,2018,rx,pgw01B,32.77703333,4.777,6.861426279,13.18551667,2.760208639,4.10121764,0.402279137
pgw,b,2018,rx,pgw02B,40.43303333,4.663,8.671034384,23.38448333,5.014900994,3.656133391,0.578350952
pgw,b,2018,rx,pgw03B,2.85131,1.7216,1.656197723,,,,
pgw,b,2018,rx,pgw04B,11.83896667,4.922,2.405316267,6.481016667,1.316744548,1.088571719,0.547430941
pgw,b,2018,rx,pgw05B,43.1434,4.814,8.962068966,29.4998,6.127918571,2.834150395,0.683761595
pgw,b,2018,rx,pgw06B,1.86612,2.2213,0.840102643,,,,
pgw,b,2018,rx,pgw07B,5.6647775,1.7979,3.150774515,,,,
pgw,b,2018,rx,pgw08B,12.44833,2.6589,4.681759374,,,,
pgw,b,2018,rx,pgw09B,25.20965429,2.7837,9.056167793,,,,
pgw,b,2018,rx,pgw10B,28.691,4.615,6.216901408,7.5578,1.637659805,4.579241603,0.263420585
rc,b,2018,wild,rc01B,18.62906667,4.806,3.876210293,9.9958,2.07985851,1.796351782,0.536570091
rc,b,2018,wild,rc02B,20.13296,4.817,4.179564044,10.33712,2.145966369,2.033597675,0.513442633
rc,b,2018,wild,rc03B,34.91408,4.3149,8.091515446,21.25936,4.926964704,3.164550743,0.608905061
rc,b,2018,wild,rc04B,78.04476,2.6299,29.67594205,55.80582,21.2197498,8.45619225,0.715048903
rc,b,2018,wild,rc05B,4.2875525,1.5974,2.684081946,,,,
rc,b,2018,wild,rc06B,31.40176,1.542,20.3643061,19.11392,12.39553826,7.968767834,0.608689449
rc,b,2018,wild,rc07B,20.8114,4.805,4.33119667,11.2148,2.333985432,1.997211238,0.53887773
rc,b,2018,wild,rc08B,31.54023333,4.856,6.495105711,20.25571667,4.171276085,2.323829627,0.642218352
rc,b,2018,wild,rc09B,49.41133333,4.694,10.52648771,29.66233333,6.319201818,4.207285897,0.600314368
rc,b,2018,wild,rc10B,35.93806667,4.775,7.526296684,24.84728333,5.203619546,2.322677138,0.691391765
pge,c,2018,none,pge01C,15.13568,2.29,6.609467249,,,,
pge,c,2018,none,pge02C,15.58458,2.414,6.455915493,,,,
pge,c,2018,none,pge03C,8.61007,1.5987,5.385669607,,,,
pge,c,2018,none,pge04C,21.4015,1.2174,17.579678,,,,
pge,c,2018,none,pge05C,,,,,,,
pge,c,2018,none,pge06C,24.96307,2.2267,11.21079175,,,,
pge,c,2018,none,pge07C,10.60402,3.6463,2.908158956,,,,
pge,c,2018,none,pge08C,15.28392,5.9501,2.568682879,7.26524,1.221028218,1.347654661,0.475351873
pge,c,2018,none,pge09C,,,,,,,
pge,c,2018,none,pge10C,17.13632,2.3684,7.235399426,8.48424,3.582266509,3.653132917,0.495102799
pgw,c,2018,none,pgw01C,26.9171,5.024,5.357703025,8.207933333,1.633744692,3.723958333,0.304933791
pgw,c,2018,none,pgw02C,10.04024,1.4105,7.1182134,,,,
pgw,c,2018,none,pgw03C,11.6993,4.849,2.412724273,7.49685,1.546061044,0.86666323,0.640794748
pgw,c,2018,none,pgw04C,43.23253333,4.736,9.128490991,29.17473333,6.160205518,2.968285473,0.674832842
pgw,c,2018,none,pgw05C,54.67936667,4.87,11.22779603,35.98081667,7.388258042,3.839537988,0.658032798
pgw,c,2018,none,pgw06C,25.014606,2.534,9.871588792,,,,
pgw,c,2018,none,pgw07C,,,,,,,
pgw,c,2018,none,pgw08C,8.286775,1.7765,4.664663665,,,,
pgw,c,2018,none,pgw09C,71.53126667,4.982,14.35794192,51.36053333,10.30921986,4.048722066,0.718015152
pgw,c,2018,none,pgw10C,11.63381,1.8424,6.314486539,,,,
rc,c,2018,none,rc01C,54.14656,3.1981,16.93085269,27.40312,8.568562584,8.36229011,0.506091615
rc,c,2018,none,rc01C,58.86376667,4.817,12.22000554,39.47528333,8.194993426,4.02501211,0.670621089
rc,c,2018,none,rc01C,32.41304,4.7234,6.862226362,17.21228,3.644044544,3.218181818,0.531029487
rc,c,2018,none,rc02C,26.77752,2.4492,10.93317001,11.40984,4.658598726,6.274571284,0.426097712
rc,c,2018,none,rc03C,29.82823333,4.827,6.179455839,19.23988333,3.985888405,2.193567433,0.645022557
rc,c,2018,none,rc04C,25.97544,4.5706,5.683157572,11.84868,2.592368617,3.090788955,0.456149347
rc,c,2018,none,rc04C,23.98186667,4.884,4.91029211,8.71585,1.784572072,3.125720038,0.363435012
rc,c,2018,none,rc05C,42.1023,4.791,8.787789606,27.61035,5.762961803,3.024827802,0.655791964
rc,c,2018,none,rc06C,30.24066667,4.747,6.370479601,18.8945,3.980303349,2.390176252,0.624804347
rc,c,2018,none,rc07C,18.84616,2.9356,6.419866467,9.11812,3.106049871,3.313816596,0.483818454
rc,c,2018,none,rc08C,36.98616,3.5911,10.29939573,25.45272,7.087722425,3.211673305,0.688168764
rc,c,2018,none,rc09C,35.8241,4.758,7.529234973,24.84728333,5.222211714,2.307023259,0.693591279
rc,c,2018,none,rc10C,20.56667,1.9912,10.32878164,,,,
