Sample,BSC_ID,ID,M1,M2,Avg,conc,conc*vol,Mass,Volume ,Conc_mg_g,CrustType,Site,Treatment,Year,FireType
EPS_20,PGEB02,PGEB022018,1.107,3.391,2.249,0.051704093,2.58520465,0.5368,50,4.815955011,c,PGE,burn,2018,rx
EPS_19,PGEB03,PGEB032018,1.185,1.083,1.134,0.017591629,0.87958145,0.4808,50,1.829412334,c,PGE,burn,2018,rx
EPS_21,PGEB10,PGEB102018,2.465,2.24,2.3525,0.054870587,2.74352935,0.5253,50,5.222785741,ml,PGE,burn,2018,rx
EPS_22,PGEC01,PGEC012018,0.592,0.597,0.5945,0.001086092,0.0543046,0.4982,50,0.109001606,c,PGE,control,2018,none
EPS_23,PGEC08,PGEC082018,2.074,1.487,1.7805,0.03737074,1.868537,0.5221,50,3.578887186,l,PGE,control,2018,none
EPS_24,PGEC10,PGEC102018,0.256,0.322,0.289,-0.008260417,-0.41302085,0.5127,50,-0.805579969,cl,PGE,control,2018,none
EPS_27,PGWB01,PGWB012018,1.671,1.244,1.4575,0.027488833,1.37444165,0.5222,50,2.632021543,c,PGW,burn,2018,rx
EPS_25,PGWB08,PGWB082018,1.514,1.216,1.365,0.024658875,1.23294375,0.485,50,2.542152062,c,PGW,burn,2018,rx
EPS_26,PGWB10,PGWB102018,1.478,1.033,1.2555,0.021308817,1.06544085,0.5343,50,1.99408731,c,PGW,burn,2018,rx
EPS_29,PGWC05,PGWC052018,2.812,1.939,2.3755,0.055574252,2.7787126,0.5619,50,4.9452084,c,PGW,control,2018,none
EPS_30,PGWC07,PGWC072018,1.348,1.02,1.184,0.019121336,0.9560668,0.4987,50,1.917118107,m,PGW,control,2018,none
EPS_28,PGWC09,PGWC092018,2.905,2.18,2.5425,0.060683473,3.03417365,0.5193,50,5.842814654,m,PGW,control,2018,none
EPS_31,RCB03,RCB032018,3.758,3.284,3.521,0.090619837,4.53099185,0.5184,50,8.740339217,c,RC,burn,2018,wild
EPS_32,RCB08,RCB082018,2.98,1.711,2.3455,0.054656428,2.7328214,0.5078,50,5.38168846,cl,RC,burn,2018,wild
EPS_33,RCB10,RCB102018,3.534,2.854,3.194,0.080615554,4.0307777,0.5808,50,6.940044249,m,RC,burn,2018,wild
EPS_36,RCC04,RCC042018,1.558,1.757,1.6575,0.033607661,1.68038305,0.5216,50,3.221593271,cl,RC,control,2018,none
EPS_35,RCC05,RCC052018,0.793,0.996,0.8945,0.010264333,0.51321665,0.5264,50,0.974955642,cl,RC,control,2018,none
EPS_34,RCC10,RCC102018,2.75,2.413,2.5815,0.061876644,3.0938322,0.5496,50,5.62924345,cl,RC,control,2018,none
EPS_02,PGEB02,PGEB022019,3.8,3.828,3.814,0.09958392,4.979196,0.992,50,5.019350806,cm,PGE,burn,2019,rx
EPS_03,PGEB06,PGEB062019,2.593,3.388,2.9905,0.074389647,3.71948235,1.008,50,3.689962649,cm,PGE,burn,2019,rx
EPS_01,PGEB09,PGEB092019,3.828,3.828,3.828,0.100012238,5.0006119,1.024,50,4.883410059,clm,PGE,burn,2019,rx
EPS_06,PGEC01,PGEC012019,1.666,1.58,1.623,0.032552163,1.62760815,1.01,50,1.611493218,cl,PGE,control,2019,none
EPS_05,PGEC03,PGEC032019,1.204,1.445,1.3245,0.023419813,1.17099065,1.027,50,1.140205112,c,PGE,control,2019,none
EPS_04,PGEC09,PGEC092019,1.564,3.508,2.536,0.060484611,3.02423055,1.019,50,2.96784156,clm,PGE,control,2019,none
EPS_08,PGWB01,PGWB012019,2.316,1.45,1.883,0.040506639,2.02533195,1.044,50,1.939973132,cl,PGW,burn,2019,rx
EPS_09,PGWB04,PGWB042019,3.512,2.808,3.16,0.079575353,3.97876765,0.994,50,4.002784356,cm,PGW,burn,2019,rx
EPS_07,PGWB07,PGWB072019,1.205,1.382,1.2935,0.022471394,1.1235697,0.983,50,1.143000712,cl,PGW,burn,2019,rx
EPS_12,PGWC03,PGWC032019,1.272,1.107,1.1895,0.019289604,0.9644802,1.002,50,0.96255509,cl,PGW,control,2019,none
