Identifier 1,mass_Inc,mass_Cont,15N_Inc,15N_Cont,shift,Site,Treatment,Type_Inc,Type_Cont,Year,N_Kfactor_Inc,Area28_Inc,C_Kfactor_Inc,Area44_Inc,%N_Inc,%C_Inc,C:N_Inc,Total_N_Inc,Total_C_Inc,N_Kfactor_Cont,Area28_Cont,C_Kfactor_Cont,Area44_Cont,%N_Cont,%C_Cont,C:N_Cont,Total_N_Cont,Total_C_Cont,FireType,shift_N,shift_C,shift_CN
BP01,37.1,48.2,8.663,4.753,3.91,PGW,Control,lichen,cyano,2019,0.140454402,73.924,0.773440054,87.596,0.279863914,1.826152425,6.525144299,0.103829512,2.420828535,0.141142911,66.36,0.807313189,83.373,0.194320406,1.396434076,7.186245164,0.093662436,0.880205469,none,-0.010167076,-1.540623066,0.661100865
BP02,44.2,37.4,8.547,6.423,2.124,PGW,Control,lichen,lichen,2019,0.140454402,206.202,0.773440054,88.405,0.655248385,1.546967601,2.360887316,0.289619786,1.043512194,0.141142911,98.105,0.807313189,83.469,0.37023597,1.801754667,4.866503568,0.138468253,0.578565883,none,-0.151151533,-0.464946311,2.505616252
BP03,32.5,40.8,4.496,8.728,-4.232,PGW,Control,moss,cyano,2019,0.140454402,83.083,0.773440054,87.399,0.359057633,2.079934993,5.792760824,0.116693731,1.882647268,0.141142911,84.079,0.807313189,83.145,0.290861637,1.645197428,5.656288827,0.118671548,0.848613477,none,0.001977817,-1.034033791,-0.136471997
BP04,35.7,42.5,4.672,6.716,-2.044,PGW,Control,lichen,cyano,2019,0.140454402,76.573,0.773440054,87.252,0.301260922,1.89031349,6.27467205,0.107550149,2.240057922,0.141142911,112.467,0.807313189,83.422,0.373503994,1.584651313,4.242662298,0.158739197,0.803383233,none,0.051189048,-1.436674689,-2.032009752
BP05,39.9,39.5,7.449,4.986,2.463,PGW,Control,lichen,cyano,2019,0.140454402,68.059,0.773440054,87.377,0.2395786,1.69375618,7.069730678,0.095591862,2.82082254,0.141142911,87.944,0.807313189,83.198,0.314244864,1.700426397,5.41115095,0.124126721,0.669033691,none,0.028534859,-2.151788849,-1.658579728
BP06,38.4,43.2,6.274,4.462,1.812,PGW,Control,cyano,cyano,2019,0.140454402,68.562,0.773440054,87.465,0.250776946,1.761690998,7.024932028,0.096298347,2.697573899,0.141142911,134.162,0.807313189,84.024,0.438333685,1.570224152,3.582257548,0.189360152,0.761050511,none,0.093061805,-1.936523388,-3.44267448
BP07,39.8,39.4,4.131,4.101,0.03,PGW,Burn,cyano,cyano,2019,0.140454402,116.098,0.773440054,88.012,0.409710431,1.71035191,4.174538354,0.163064752,1.661466265,0.141142911,105.121,0.807313189,83.663,0.376575734,1.714270134,4.552258628,0.148370839,0.673878653,rx,-0.014693913,-0.987587612,0.377720274
BP08,37.3,44.2,6.292,9.97,-3.678,PGW,Burn,mixed,cyano,2019,0.140454402,71.869,0.773440054,87.396,0.270625132,1.812213591,6.696397995,0.100943174,2.497756452,0.141142911,120.706,0.807313189,84.021,0.385447878,1.534643923,3.981456412,0.170367962,0.800998407,rx,0.069424788,-1.696758045,-2.714941583
BP09,35.8,37.7,,8.662,,PGW,Burn,cyano,moss,2019,0.140454402,126.555,0.773440054,87.4,0.496514158,1.888230746,3.80297463,0.177752069,1.361464917,0.141142911,143.723,0.807313189,84.311,0.538076461,1.805447805,3.355374073,0.202854826,0.711862991,rx,0.025102757,-0.649601926,-0.447600557
BP10,38.4,39.2,9.467,10.191,-0.724,PGW,Burn,cyano,cyano,2019,0.140454402,230.511,0.773440054,88.6,0.843132413,1.784551791,2.11657358,0.323762847,0.812764255,0.141142911,60.098,0.807313189,83.002,0.216387925,1.709403298,7.899716677,0.084824067,0.699544302,rx,-0.23893878,-0.113219953,5.783143097
BP11,36.7,38.9,11.278,9.363,1.915,PGW,Burn,moss,lichen,2019,0.140454402,191.352,0.773440054,88.22,0.732322364,1.859206582,2.538781654,0.268762307,0.931732867,0.141142911,66.714,0.807313189,82.753,0.242061906,1.717418722,7.094956615,0.094162081,0.72323136,rx,-0.174600226,-0.208501507,4.556174961
BP12,36.2,37.9,8.187,8.121,0.066,PGW,Burn,lichen,cyano,2019,0.140454402,121.82,0.773440054,87.143,0.472656223,1.861875321,3.93917446,0.171101553,1.425981155,0.141142911,130.665,0.807313189,83.822,0.486607874,1.785504119,3.669287352,0.184424384,0.705650747,rx,0.013322831,-0.720330408,-0.269887108
