Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,2017_precip,2018_precip,2019_precip,2020_precip
pge01,a,pge01a2018,pge,2018,2017,rx,4,0,1,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pge01,b,pge01b2018,pge,2018,2017,rx,10,0,2,NA,12,5.541666667,1.863333333,5.976666667,3.336666667
pge01,c,pge01c2018,pge,2018,2017,rx,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pge01,d,pge01d2018,pge,2018,2017,rx,9,0,1,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pge02,a,pge02a2018,pge,2018,2017,rx,45,0,0,NA,45,5.541666667,1.863333333,5.976666667,3.336666667
pge02,b,pge02b2018,pge,2018,2017,rx,16,0,1,NA,17,5.541666667,1.863333333,5.976666667,3.336666667
pge02,c,pge02c2018,pge,2018,2017,rx,50,0,0,NA,50,5.541666667,1.863333333,5.976666667,3.336666667
pge02,d,pge02d2018,pge,2018,2017,rx,31,1,1,NA,33,5.541666667,1.863333333,5.976666667,3.336666667
pge03,a,pge03a2018,pge,2018,2017,rx,5,0,4,NA,9,5.541666667,1.863333333,5.976666667,3.336666667
pge03,b,pge03b2018,pge,2018,2017,rx,60,0,0,NA,60,5.541666667,1.863333333,5.976666667,3.336666667
pge03,c,pge03c2018,pge,2018,2017,rx,6,0,0,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pge03,d,pge03d2018,pge,2018,2017,rx,30,0,0,NA,30,5.541666667,1.863333333,5.976666667,3.336666667
pge04,a,pge04a2018,pge,2018,2017,rx,40,0,0,NA,40,5.541666667,1.863333333,5.976666667,3.336666667
pge04,b,pge04b2018,pge,2018,2017,rx,10,0,0,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pge04,c,pge04c2018,pge,2018,2017,rx,30,0,0,NA,30,5.541666667,1.863333333,5.976666667,3.336666667
pge04,d,pge04d2018,pge,2018,2017,rx,10,0,0,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pge05,a,pge05a2018,pge,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pge05,b,pge05b2018,pge,2018,2017,rx,20,1,0,NA,21,5.541666667,1.863333333,5.976666667,3.336666667
pge05,c,pge05c2018,pge,2018,2017,rx,6,0,0,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pge05,d,pge05d2018,pge,2018,2017,rx,29,0,1,NA,30,5.541666667,1.863333333,5.976666667,3.336666667
pge06,a,pge06a2018,pge,2018,2017,rx,10,0,0,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pge06,b,pge06b2018,pge,2018,2017,rx,5,0,1,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pge06,c,pge06c2018,pge,2018,2017,rx,15,0,0,NA,15,5.541666667,1.863333333,5.976666667,3.336666667
pge06,d,pge06d2018,pge,2018,2017,rx,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pge07,a,pge07a2018,pge,2018,2017,rx,10,1,0,NA,11,5.541666667,1.863333333,5.976666667,3.336666667
pge07,b,pge07b2018,pge,2018,2017,rx,20,1,0,NA,21,5.541666667,1.863333333,5.976666667,3.336666667
pge07,c,pge07c2018,pge,2018,2017,rx,8,0,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pge07,d,pge07d2018,pge,2018,2017,rx,25,0,0,NA,25,5.541666667,1.863333333,5.976666667,3.336666667
pge08,a,pge08a2018,pge,2018,2017,rx,60,30,0,NA,90,5.541666667,1.863333333,5.976666667,3.336666667
pge08,b,pge08b2018,pge,2018,2017,rx,55,5,0,NA,60,5.541666667,1.863333333,5.976666667,3.336666667
pge08,c,pge08c2018,pge,2018,2017,rx,30,10,2,NA,42,5.541666667,1.863333333,5.976666667,3.336666667
pge08,d,pge08d2018,pge,2018,2017,rx,35,6,0,NA,41,5.541666667,1.863333333,5.976666667,3.336666667
pge09,a,pge09a2018,pge,2018,2017,rx,65,3,0,NA,68,5.541666667,1.863333333,5.976666667,3.336666667
pge09,b,pge09b2018,pge,2018,2017,rx,9,0,1,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pge09,c,pge09c2018,pge,2018,2017,rx,5,4,1,NA,10,5.541666667,1.863333333,5.976666667,3.336666667
pge09,d,pge09d2018,pge,2018,2017,rx,12,0,3,NA,15,5.541666667,1.863333333,5.976666667,3.336666667
pge10,a,pge10a2018,pge,2018,2017,rx,35,1,20,NA,56,5.541666667,1.863333333,5.976666667,3.336666667
pge10,b,pge10b2018,pge,2018,2017,rx,25,1,20,NA,46,5.541666667,1.863333333,5.976666667,3.336666667
pge10,c,pge10c2018,pge,2018,2017,rx,25,1,30,NA,56,5.541666667,1.863333333,5.976666667,3.336666667
pge10,d,pge10d2018,pge,2018,2017,rx,40,4,5,NA,49,5.541666667,1.863333333,5.976666667,3.336666667
pgw01,a,pgw01a2018,pgw,2018,2017,rx,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pgw01,b,pgw01b2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pgw01,c,pgw01c2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pgw01,d,pgw01d2018,pgw,2018,2017,rx,16,3,0,NA,19,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,a,pgw02a2018,pgw,2018,2017,rx,12,0,0,NA,12,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,b,pgw02b2018,pgw,2018,2017,rx,40,0,0,NA,40,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,c,pgw02c2018,pgw,2018,2017,rx,4,0,0,NA,4,5.541666667,1.863333333,5.976666667,3.336666667
pgw02,d,pgw02d2018,pgw,2018,2017,rx,12,0,0,NA,12,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,a,pgw03a2018,pgw,2018,2017,rx,3,0,0,NA,3,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,b,pgw03b2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,c,pgw03c2018,pgw,2018,2017,rx,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pgw03,d,pgw03d2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,a,pgw04a2018,pgw,2018,2017,rx,5,0,0,NA,5,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,b,pgw04b2018,pgw,2018,2017,rx,8,0,0,NA,8,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,c,pgw04c2018,pgw,2018,2017,rx,6,0,0,NA,6,5.541666667,1.863333333,5.976666667,3.336666667
pgw04,d,pgw04d2018,pgw,2018,2017,rx,2,0,0,NA,2,5.541666667,1.863333333,5.976666667,3.336666667
