Plot,Quad,ID,Site,Sample.Year,Burn.Year,Treatment ,cyano,Lichen,Moss,Mixed,Total,treatment
pge01,a,pge012018,pge,2018,2017,rx,4,0,1,NA,5,burn
pge01,b,pge012018,pge,2018,2017,rx,10,0,2,NA,12,burn
pge01,c,pge012018,pge,2018,2017,rx,5,0,0,NA,5,burn
pge01,d,pge012018,pge,2018,2017,rx,9,0,1,NA,10,burn
pge01,a,pge012018,pge,2018,none,none,0,0,0,NA,0,control
pge01,b,pge012018,pge,2018,none,none,2,0,1,NA,3,control
pge01,c,pge012018,pge,2018,none,none,8,0,0,NA,8,control
pge01,d,pge012018,pge,2018,none,none,1,0,0,NA,1,control
pge01,a,pge012019,pge,2019,2017,rx,20,5,4,NA,29,burn
pge01,b,pge012019,pge,2019,2017,rx,1,1,3,NA,5,burn
pge01,c,pge012019,pge,2019,2017,rx,5,5,30,NA,40,burn
pge01,d,pge012019,pge,2019,2017,rx,0,4,0,NA,4,burn
pge01,a,pge012019,pge,2019,none,none,0,20,1,NA,21,control
pge01,b,pge012019,pge,2019,none,none,2,1,0,NA,3,control
pge01,c,pge012019,pge,2019,none,none,0,40,6,NA,46,control
pge01,d,pge012019,pge,2019,none,none,1,1,4,NA,6,control
pge01,a,pge012020,pge,2020,2017,none,0,0,0,0,0,control
pge01,b,pge012020,pge,2020,2017,none,0,0,0,0,0,control
pge01,c,pge012020,pge,2020,2017,none,0,4,0,2,6,control
pge01,d,pge012020,pge,2020,2017,none,0,1,0,8,9,control
pge01,a,pge012020,pge,2020,2017,rx,0,2,0,0,2,burn
pge01,c,pge012020,pge,2020,2017,rx,0,0,0,0,0,burn
pge01,b,pge012020,pge,2020,2017,rx,0,9,0,0,9,burn
pge01,d,pge012020,pge,2020,2017,rx,0,16,0,0,16,burn
pge02,a,pge022018,pge,2018,2017,rx,45,0,0,NA,45,burn
pge02,b,pge022018,pge,2018,2017,rx,16,0,1,NA,17,burn
pge02,c,pge022018,pge,2018,2017,rx,50,0,0,NA,50,burn
pge02,d,pge022018,pge,2018,2017,rx,31,1,1,NA,33,burn
pge02,a,pge022018,pge,2018,none,none,5,0,0,NA,5,control
pge02,b,pge022018,pge,2018,none,none,2,0,0,NA,2,control
pge02,c,pge022018,pge,2018,none,none,7,0,0,NA,7,control
pge02,d,pge022018,pge,2018,none,none,20,0,0,NA,20,control
pge02,a,pge022019,pge,2019,2017,rx,2,0,1,NA,3,burn
pge02,b,pge022019,pge,2019,2017,rx,1,0,2,NA,3,burn
pge02,c,pge022019,pge,2019,2017,rx,5,2,9,NA,16,burn
pge02,d,pge022019,pge,2019,2017,rx,4,0,0,NA,4,burn
pge02,a,pge022019,pge,2019,none,none,5,1,0,NA,6,control
pge02,b,pge022019,pge,2019,none,none,1,1,4,NA,6,control
pge02,c,pge022019,pge,2019,none,none,0,1,0,NA,1,control
pge02,d,pge022019,pge,2019,none,none,1,1,0,NA,2,control
pge02,a,pge022020,pge,2020,2017,none,0,0,0,0,0,control
pge02,b,pge022020,pge,2020,2017,none,0,0,0,0,0,control
pge02,c,pge022020,pge,2020,2017,none,0,0,0,0,0,control
pge02,d,pge022020,pge,2020,2017,none,0,0,0,0,0,control
pge02,a,pge022020,pge,2020,2017,rx,0,0,0,6,6,burn
pge02,c,pge022020,pge,2020,2017,rx,0,0,0,5,5,burn
pge02,b,pge022020,pge,2020,2017,rx,0,0,0,0,0,burn
pge02,d,pge022020,pge,2020,2017,rx,2,0,0,0,2,burn
pge03,a,pge032018,pge,2018,2017,rx,5,0,4,NA,9,burn
pge03,b,pge032018,pge,2018,2017,rx,60,0,0,NA,60,burn
pge03,c,pge032018,pge,2018,2017,rx,6,0,0,NA,6,burn
pge03,d,pge032018,pge,2018,2017,rx,30,0,0,NA,30,burn
pge03,a,pge032018,pge,2018,none,none,3,0,0,NA,3,control
pge03,b,pge032018,pge,2018,none,none,4,0,0,NA,4,control
pge03,c,pge032018,pge,2018,none,none,0,0,0,NA,0,control
pge03,d,pge032018,pge,2018,none,none,20,0,0,NA,20,control
pge03,a,pge032019,pge,2019,2017,rx,0,0,1,NA,1,burn
pge03,b,pge032019,pge,2019,2017,rx,1,0,1,NA,2,burn
pge03,c,pge032019,pge,2019,2017,rx,1,0,1,NA,2,burn
pge03,d,pge032019,pge,2019,2017,rx,1,1,1,NA,3,burn
pge03,a,pge032019,pge,2019,none,none,2,2,1,NA,5,control
