level1,level2,level3,funct,pgeb.1,pgeb.2,pgeb.3,pgeb.4,pgec.1,pgec.2,pgec.3,pgec.4,pgwb.1,pgwb.2,pgwb.3,pgwb.4,pgwc.1,pgwc.2,pgwc.3,pgwc.4,rcb.1,rcb.2,rcb.3,rcb.4,rcc.1,rcc.2,rcc.3,rcc.4
Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain_Amino_Acid_Biosynthesis,(R)-citramalate synthase (EC 2.3.1.182),0.000422543,0.000623077,0.00063238,0.000470561,0.000546991,0.000443623,0.000592698,0.000711855,0.000791206,0.000734357,0.000406104,0.000883978,0.000503637,0.000811194,0.000655064,0.00049776,0.000780444,0.000699755,0.00075061,0.000654056,0.000714578,0.000696631,0.00066905,0.000716056
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Salvage,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)",0,5.19E-05,2.60E-05,8.82E-05,0.000101295,7.39E-05,2.96E-05,3.90E-05,0,3.00E-05,1.56E-05,0,1.87E-05,0,0.000112942,0,4.20E-05,6.00E-05,1.56E-05,2.56E-05,4.36E-05,0,2.00E-05,7.08E-05
Amino Acids and Derivatives,Proline and 4-hydroxyproline,"Proline,_4-hydroxyproline_uptake_and_utilization",1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22),0,3.89E-05,0.000181917,0.00011764,2.03E-05,0.000110906,0.000133357,0.000117017,5.65E-05,8.99E-05,6.25E-05,6.63E-05,0.000111919,0.000152099,0.000124236,8.30E-05,0.000109094,5.00E-05,0.000172015,7.69E-05,0.000130716,0.000107174,9.99E-05,5.51E-05
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_Biosynthesis_DAP_Pathway,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)",7.92E-05,0.000129808,0.000112616,5.88E-05,0.000121553,0.000110906,0.00011854,7.80E-05,0.000141287,0.000149869,3.12E-05,0.000154696,7.46E-05,8.45E-05,6.78E-05,0,0.000109094,1.00E-04,0.000101645,0.000141071,0.000104572,9.38E-05,7.99E-05,0.000102294
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine_Biosynthesis_DAP_Pathway,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)",0.000396134,0.000350481,0.000441799,0.0002941,0.000303884,0.000147874,0.000518611,0.000419312,0.000452118,0.000299738,0.000531059,0.000353591,0.000615557,0.000287298,0.000372709,0.00016592,0.000436377,0.000459839,0.000500407,0.000461686,0.000488005,0.000455489,0.000439376,0.000361962
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Salvage,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase",0,2.60E-05,1.73E-05,5.88E-05,6.08E-05,3.70E-05,4.45E-05,1.95E-05,8.48E-05,7.49E-05,3.12E-05,4.42E-05,3.73E-05,1.69E-05,7.91E-05,4.15E-05,2.52E-05,3.00E-05,3.13E-05,1.28E-05,5.23E-05,1.34E-05,2.00E-05,6.30E-05
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Salvage,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)",2.64E-05,0,2.60E-05,0,0,0,1.48E-05,9.75E-06,2.83E-05,0,0,0,1.87E-05,0,0,0,8.39E-06,2.00E-05,1.56E-05,2.56E-05,2.61E-05,1.34E-05,0,7.87E-06
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Anaerobic_Oxidative_Degradation_of_L-Ornithine,"2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)",0,0,0,0,0,0,0,0,0,0,0,2.21E-05,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids and Derivatives,Aromatic amino acids and derivatives,"Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.",2-Amino-2-deoxy-isochorismate hydrolase (EC 3.-.-.-),0,0,0,0,0,0,0,0,0,1.50E-05,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,7.87E-06
Amino Acids and Derivatives,Aromatic amino acids and derivatives,"Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.",2-Amino-2-deoxy-isochorismate synthase (EC 4.1.3.-),5.28E-05,9.09E-05,0.000121278,2.94E-05,8.10E-05,0,0.000103722,5.85E-05,2.83E-05,3.00E-05,0.000187433,4.42E-05,0.000111919,5.07E-05,2.26E-05,8.30E-05,6.71E-05,8.00E-05,3.91E-05,1.28E-05,7.84E-05,0.000147364,4.99E-05,8.66E-05
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Degradation,2-Oxobutyrate dehydrogenase E1 (EC:1.2.4.1),2.64E-05,0,0,0,0,0,1.48E-05,3.90E-05,0,0,1.56E-05,0,1.87E-05,0,0,0,3.36E-05,0,0,0,1.74E-05,1.34E-05,0,7.87E-06
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Degradation,"2-Oxobutyrate oxidase, putative",0.000105636,1.30E-05,4.33E-05,0,6.08E-05,0.000147874,1.48E-05,3.90E-05,0,5.99E-05,6.25E-05,0,3.73E-05,1.69E-05,6.78E-05,8.30E-05,5.04E-05,8.00E-05,3.13E-05,2.56E-05,0,1.34E-05,3.99E-05,3.15E-05
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate_Synthesis,"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)",0,0,3.47E-05,0,0,0,0,3.90E-05,2.83E-05,0,0,0,0,0,0,0,8.39E-06,2.00E-05,0,0,0,0,0,1.57E-05
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Tryptophan_catabolism,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45),0,0.000116827,6.93E-05,5.88E-05,4.05E-05,3.70E-05,1.48E-05,4.88E-05,0.000141287,1.50E-05,1.56E-05,6.63E-05,5.60E-05,5.07E-05,0,8.30E-05,4.20E-05,9.00E-05,2.35E-05,7.69E-05,6.97E-05,5.36E-05,2.00E-05,2.36E-05
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine_and_Serine_Utilization,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),0.000396134,0.000298558,0.000259882,0.00041174,0.000445696,0.000332717,0.000488976,0.000360803,0.000395603,0.000449607,0.000406104,0.000243094,0.000298452,0.000540796,0.00056471,0.00045628,0.000344067,0.000289899,0.000414399,0.00052581,0.000444433,0.000375109,0.000379461,0.000393437
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Tryptophan_catabolism,2-aminomuconate deaminase (EC 3.5.99.5),0,0,0,0,2.03E-05,0,1.48E-05,9.75E-06,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,2.68E-05,0,0
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Tryptophan_catabolism,2-aminomuconate semialdehyde dehydrogenase (EC 1.2.1.32),0,0,0,0,0,0,1.48E-05,0,2.83E-05,0,0,0.000110497,0,0,2.26E-05,0,8.39E-06,0,0,0,8.71E-06,0,2.00E-05,0
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine_Salvage,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,0,0,0,0,0,0,0,0,0,1.50E-05,0,4.42E-05,0,1.69E-05,1.13E-05,4.15E-05,2.52E-05,0,0,0,0,0,0,6.30E-05
