"","Site","Treatment","Year","ng.cov_mean","nng.cov_mean","nnf.cov_mean","nf.cov_mean","BRODIA_mean","EROBOT_mean","FESMYU_mean","SANARG_mean","STIPUL_mean","ACARAR_mean","AVEBAR_mean","AVEFAT_mean","BROMAD_mean","CENMEL_mean","UNKNOWN_mean","BROHOR_mean","LASGRA_mean","SPEMAC_mean","LEPNIT_mean","SALTRA_mean","ACHMIL_mean","EROCIC_mean","SONOLE_mean","DAUPUS_mean","LUPBIC_mean","MAFOFO_mean","GILNEV_mean","CALMEN_mean","AVESPP_mean","EROMOS_mean","GALAPA_mean","CRYINT_mean","BROKIN_mean","PTEDRY_mean","CRACON_mean","CALCIL_mean","FESSPP_mean","JEPMAL_mean","HYPGLA_mean","PELAND_mean","AMBPUS_mean","DICCAP_mean","ALLPRA_mean","CALMAC_mean","OPULIT_mean","AMSINT_mean","AMSMEN_mean","VIOPED_mean"
"1","PGW","burn",2018,0.653289408006389,0.72256665054449,1.51879661717937,0.439492606159273,0.375661375661376,1.06878306878307,0.587301587301587,0.232804232804233,0.661375661375661,0,0.0634920634920635,0.158730158730159,0,0.0582010582010582,0,0,0,0.00529100529100529,0.00529100529100529,0,0.0740740740740741,2.88888888888889,0,0,0,0,0,0,0.0105820105820106,0,0,0,0.0582010582010582,0,0,0,0,0,0,0,0,0.0264550264550265,0.00529100529100529,0.227513227513228,0.0423280423280423,0.00529100529100529,0,0
"2","PGW","burn",2018,0.653289408006389,0.72256665054449,1.51879661717937,0.439492606159273,0.375661375661376,1.06878306878307,0.587301587301587,0.232804232804233,0.661375661375661,0,0.0634920634920635,0.158730158730159,0,0.0582010582010582,0,0,0,0.00529100529100529,0.00529100529100529,0,0.0740740740740741,2.88888888888889,0,0,0,0,0,0,0.0105820105820106,0,0,0,0.0582010582010582,0,0,0,0,0,0,0,0,0.0264550264550265,0.00529100529100529,0.227513227513228,0.0423280423280423,0.00529100529100529,0,0
"3","PGW","burn",2018,0.653289408006389,0.72256665054449,1.51879661717937,0.439492606159273,0.375661375661376,1.06878306878307,0.587301587301587,0.232804232804233,0.661375661375661,0,0.0634920634920635,0.158730158730159,0,0.0582010582010582,0,0,0,0.00529100529100529,0.00529100529100529,0,0.0740740740740741,2.88888888888889,0,0,0,0,0,0,0.0105820105820106,0,0,0,0.0582010582010582,0,0,0,0,0,0,0,0,0.0264550264550265,0.00529100529100529,0.227513227513228,0.0423280423280423,0.00529100529100529,0,0
"4","PGW","burn",2018,0.653289408006389,0.72256665054449,1.51879661717937,0.439492606159273,0.375661375661376,1.06878306878307,0.587301587301587,0.232804232804233,0.661375661375661,0,0.0634920634920635,0.158730158730159,0,0.0582010582010582,0,0,0,0.00529100529100529,0.00529100529100529,0,0.0740740740740741,2.88888888888889,0,0,0,0,0,0,0.0105820105820106,0,0,0,0.0582010582010582,0,0,0,0,0,0,0,0,0.0264550264550265,0.00529100529100529,0.227513227513228,0.0423280423280423,0.00529100529100529,0,0
"5","PGW","control",2018,0.321540880503145,0.837599261311173,1.48524707996406,0.575619658119658,0.676666666666667,0.543333333333333,0.766666666666667,0.04,0.316666666666667,0.0166666666666667,0.00666666666666667,0.01,0.0533333333333333,0.173333333333333,0,0.113333333333333,0.0133333333333333,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.0366666666666667,0.203333333333333,0.0666666666666667,0,0,0.01,0.0333333333333333,0,0,0,0.00666666666666667,0.00666666666666667,0.0233333333333333,0.0266666666666667,0.0133333333333333,0,0,0,0.05,0.00333333333333333,0.0166666666666667,0.03,0,0.163333333333333,0,0.01,0.00333333333333333,0.00333333333333333
"6","PGW","control",2018,0.321540880503145,0.837599261311173,1.48524707996406,0.575619658119658,0.676666666666667,0.543333333333333,0.766666666666667,0.04,0.316666666666667,0.0166666666666667,0.00666666666666667,0.01,0.0533333333333333,0.173333333333333,0,0.113333333333333,0.0133333333333333,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.0366666666666667,0.203333333333333,0.0666666666666667,0,0,0.01,0.0333333333333333,0,0,0,0.00666666666666667,0.00666666666666667,0.0233333333333333,0.0266666666666667,0.0133333333333333,0,0,0,0.05,0.00333333333333333,0.0166666666666667,0.03,0,0.163333333333333,0,0.01,0.00333333333333333,0.00333333333333333
"7","PGW","control",2018,0.321540880503145,0.837599261311173,1.48524707996406,0.575619658119658,0.676666666666667,0.543333333333333,0.766666666666667,0.04,0.316666666666667,0.0166666666666667,0.00666666666666667,0.01,0.0533333333333333,0.173333333333333,0,0.113333333333333,0.0133333333333333,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.0366666666666667,0.203333333333333,0.0666666666666667,0,0,0.01,0.0333333333333333,0,0,0,0.00666666666666667,0.00666666666666667,0.0233333333333333,0.0266666666666667,0.0133333333333333,0,0,0,0.05,0.00333333333333333,0.0166666666666667,0.03,0,0.163333333333333,0,0.01,0.00333333333333333,0.00333333333333333
"8","PGW","control",2018,0.321540880503145,0.837599261311173,1.48524707996406,0.575619658119658,0.676666666666667,0.543333333333333,0.766666666666667,0.04,0.316666666666667,0.0166666666666667,0.00666666666666667,0.01,0.0533333333333333,0.173333333333333,0,0.113333333333333,0.0133333333333333,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.0366666666666667,0.203333333333333,0.0666666666666667,0,0,0.01,0.0333333333333333,0,0,0,0.00666666666666667,0.00666666666666667,0.0233333333333333,0.0266666666666667,0.0133333333333333,0,0,0,0.05,0.00333333333333333,0.0166666666666667,0.03,0,0.163333333333333,0,0.01,0.00333333333333333,0.00333333333333333
"9","PGE","burn",2018,0.451895291517933,0.984252951011954,1.48601903790583,0.374162624162624,0.114864864864865,1.43243243243243,0.0653153153153153,0.036036036036036,0.394144144144144,0,0.0247747747747748,0.045045045045045,0.0518018018018018,0.0495495495495495,0,0.0337837837837838,0,0,0.00675675675675676,0.00225225225225225,0.0045045045045045,0.144144144144144,0.00900900900900901,0,0,0.00225225225225225,0,0,0.00225225225225225,0,0.0045045045045045,0.0112612612612613,0.509009009009009,0.00900900900900901,0.0405405405405405,0,0.0405405405405405,0.0045045045045045,0,0,0,0,0,0,0,0,0,0
"10","PGE","burn",2018,0.451895291517933,0.984252951011954,1.48601903790583,0.374162624162624,0.114864864864865,1.43243243243243,0.0653153153153153,0.036036036036036,0.394144144144144,0,0.0247747747747748,0.045045045045045,0.0518018018018018,0.0495495495495495,0,0.0337837837837838,0,0,0.00675675675675676,0.00225225225225225,0.0045045045045045,0.144144144144144,0.00900900900900901,0,0,0.00225225225225225,0,0,0.00225225225225225,0,0.0045045045045045,0.0112612612612613,0.509009009009009,0.00900900900900901,0.0405405405405405,0,0.0405405405405405,0.0045045045045045,0,0,0,0,0,0,0,0,0,0
"11","PGE","burn",2018,0.451895291517933,0.984252951011954,1.48601903790583,0.374162624162624,0.114864864864865,1.43243243243243,0.0653153153153153,0.036036036036036,0.394144144144144,0,0.0247747747747748,0.045045045045045,0.0518018018018018,0.0495495495495495,0,0.0337837837837838,0,0,0.00675675675675676,0.00225225225225225,0.0045045045045045,0.144144144144144,0.00900900900900901,0,0,0.00225225225225225,0,0,0.00225225225225225,0,0.0045045045045045,0.0112612612612613,0.509009009009009,0.00900900900900901,0.0405405405405405,0,0.0405405405405405,0.0045045045045045,0,0,0,0,0,0,0,0,0,0
"12","PGE","burn",2018,0.451895291517933,0.984252951011954,1.48601903790583,0.374162624162624,0.114864864864865,1.43243243243243,0.0653153153153153,0.036036036036036,0.394144144144144,0,0.0247747747747748,0.045045045045045,0.0518018018018018,0.0495495495495495,0,0.0337837837837838,0,0,0.00675675675675676,0.00225225225225225,0.0045045045045045,0.144144144144144,0.00900900900900901,0,0,0.00225225225225225,0,0,0.00225225225225225,0,0.0045045045045045,0.0112612612612613,0.509009009009009,0.00900900900900901,0.0405405405405405,0,0.0405405405405405,0.0045045045045045,0,0,0,0,0,0,0,0,0,0
"13","PGE","control",2018,0.276465056133545,1.03806491141775,1.36138751039121,0.46305615464494,0.26791277258567,0.21183800623053,0.0794392523364486,0.00934579439252336,0.31619937694704,0.059190031152648,0.0264797507788162,0.0467289719626168,0.0965732087227414,0.11214953271028,0.00467289719626168,0.0685358255451713,0.00934579439252336,0.0202492211838006,0.00623052959501558,0.00934579439252336,0.00311526479750779,0.0794392523364486,0.0529595015576324,0.00155763239875389,0.014018691588785,0.0280373831775701,0.0202492211838006,0.00155763239875389,0,0.00778816199376947,0.00155763239875389,0.0186915887850467,0.0934579439252336,0.0560747663551402,0.0155763239875389,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0
"14","PGE","control",2018,0.276465056133545,1.03806491141775,1.36138751039121,0.46305615464494,0.26791277258567,0.21183800623053,0.0794392523364486,0.00934579439252336,0.31619937694704,0.059190031152648,0.0264797507788162,0.0467289719626168,0.0965732087227414,0.11214953271028,0.00467289719626168,0.0685358255451713,0.00934579439252336,0.0202492211838006,0.00623052959501558,0.00934579439252336,0.00311526479750779,0.0794392523364486,0.0529595015576324,0.00155763239875389,0.014018691588785,0.0280373831775701,0.0202492211838006,0.00155763239875389,0,0.00778816199376947,0.00155763239875389,0.0186915887850467,0.0934579439252336,0.0560747663551402,0.0155763239875389,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0
"15","PGE","control",2018,0.276465056133545,1.03806491141775,1.36138751039121,0.46305615464494,0.26791277258567,0.21183800623053,0.0794392523364486,0.00934579439252336,0.31619937694704,0.059190031152648,0.0264797507788162,0.0467289719626168,0.0965732087227414,0.11214953271028,0.00467289719626168,0.0685358255451713,0.00934579439252336,0.0202492211838006,0.00623052959501558,0.00934579439252336,0.00311526479750779,0.0794392523364486,0.0529595015576324,0.00155763239875389,0.014018691588785,0.0280373831775701,0.0202492211838006,0.00155763239875389,0,0.00778816199376947,0.00155763239875389,0.0186915887850467,0.0934579439252336,0.0560747663551402,0.0155763239875389,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0
"16","PGE","control",2018,0.276465056133545,1.03806491141775,1.36138751039121,0.46305615464494,0.26791277258567,0.21183800623053,0.0794392523364486,0.00934579439252336,0.31619937694704,0.059190031152648,0.0264797507788162,0.0467289719626168,0.0965732087227414,0.11214953271028,0.00467289719626168,0.0685358255451713,0.00934579439252336,0.0202492211838006,0.00623052959501558,0.00934579439252336,0.00311526479750779,0.0794392523364486,0.0529595015576324,0.00155763239875389,0.014018691588785,0.0280373831775701,0.0202492211838006,0.00155763239875389,0,0.00778816199376947,0.00155763239875389,0.0186915887850467,0.0934579439252336,0.0560747663551402,0.0155763239875389,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0
